policy_number,member_id
POL-12664,MEMBER-002533
POL-12664,MEMBER-005097
POL-12664,MEMBER-005697
POL-12598,MEMBER-002484
POL-10901,MEMBER-003722
POL-10901,MEMBER-005644
POL-10901,MEMBER-002374
POL-10901,MEMBER-005919
POL-10901,MEMBER-004541
POL-17985,MEMBER-002426
POL-17985,MEMBER-004649
POL-17985,MEMBER-005127
POL-17985,MEMBER-006282
POL-17985,MEMBER-004661
POL-18734,MEMBER-004400
POL-18734,MEMBER-005197
POL-18734,MEMBER-001918
POL-16934,MEMBER-006023
POL-16934,MEMBER-000807
POL-14431,MEMBER-004265
POL-14431,MEMBER-003223
POL-14431,MEMBER-002544
POL-14431,MEMBER-000525
POL-14431,MEMBER-003069
POL-19990,MEMBER-005776
POL-19990,MEMBER-004768
POL-19990,MEMBER-006864
POL-19990,MEMBER-001349
POL-19256,MEMBER-005242
POL-19256,MEMBER-004691
POL-19256,MEMBER-006626
POL-11156,MEMBER-001228
POL-11156,MEMBER-006910
POL-12577,MEMBER-006435
POL-12577,MEMBER-006022
POL-12577,MEMBER-001882
POL-12577,MEMBER-006555
POL-12577,MEMBER-006387
POL-18579,MEMBER-001354
POL-12465,MEMBER-006857
POL-12465,MEMBER-004089
POL-12465,MEMBER-006501
POL-13309,MEMBER-001400
POL-13309,MEMBER-002277
POL-13309,MEMBER-002338
POL-11281,MEMBER-004645
POL-11281,MEMBER-006541
POL-10605,MEMBER-004929
POL-17750,MEMBER-005219
POL-17750,MEMBER-005627
POL-17750,MEMBER-000659
POL-17750,MEMBER-001866
POL-15595,MEMBER-002045
POL-15595,MEMBER-004817
POL-15595,MEMBER-000491
POL-15595,MEMBER-001003
POL-15595,MEMBER-006193
POL-13265,MEMBER-003360
POL-13265,MEMBER-002321
POL-13265,MEMBER-001846
POL-13265,MEMBER-001541
POL-13265,MEMBER-004743
POL-12584,MEMBER-001381
POL-17846,MEMBER-003034
POL-17846,MEMBER-001658
POL-17846,MEMBER-005911
POL-14678,MEMBER-000586
POL-14678,MEMBER-004625
POL-14678,MEMBER-002708
POL-16898,MEMBER-002789
POL-16898,MEMBER-001257
POL-16898,MEMBER-005931
POL-16898,MEMBER-003597
POL-16898,MEMBER-000343
POL-19171,MEMBER-000513
POL-15938,MEMBER-005554
POL-15938,MEMBER-002404
POL-15938,MEMBER-002322
POL-15938,MEMBER-004920
POL-15938,MEMBER-005253
POL-16463,MEMBER-002974
POL-16463,MEMBER-001819
POL-16463,MEMBER-002641
POL-11823,MEMBER-006793
POL-17451,MEMBER-000740
POL-17451,MEMBER-005474
POL-17451,MEMBER-005671
POL-18818,MEMBER-004172
POL-18818,MEMBER-000944
POL-18818,MEMBER-000936
POL-18818,MEMBER-002651
POL-18818,MEMBER-003280
POL-14354,MEMBER-001186
POL-14354,MEMBER-002032
POL-14354,MEMBER-002198
POL-14354,MEMBER-005000
POL-14354,MEMBER-004767
POL-14695,MEMBER-005469
POL-14695,MEMBER-001828
POL-14695,MEMBER-002353
POL-14695,MEMBER-000215
POL-10092,MEMBER-006610
POL-10092,MEMBER-002239
POL-18323,MEMBER-006772
POL-10278,MEMBER-006260
POL-10278,MEMBER-006894
POL-10278,MEMBER-000702
POL-10278,MEMBER-004463
POL-10278,MEMBER-000363
POL-14605,MEMBER-002995
POL-14605,MEMBER-003531
POL-14605,MEMBER-001788
POL-14605,MEMBER-002591
POL-14605,MEMBER-006791
POL-12750,MEMBER-006042
POL-12750,MEMBER-002479
POL-12750,MEMBER-006143
POL-12750,MEMBER-001000
POL-12750,MEMBER-001190
POL-15332,MEMBER-001986
POL-15332,MEMBER-004227
POL-15499,MEMBER-005887
POL-15499,MEMBER-003265
POL-15499,MEMBER-002854
POL-15499,MEMBER-005518
POL-12018,MEMBER-006084
POL-12330,MEMBER-004504
POL-12330,MEMBER-004335
POL-12330,MEMBER-003148
POL-12330,MEMBER-005567
POL-12330,MEMBER-000220
POL-12186,MEMBER-004654
POL-12186,MEMBER-004221
POL-12186,MEMBER-001369
POL-10485,MEMBER-005483
POL-10485,MEMBER-004611
POL-10485,MEMBER-001441
POL-10485,MEMBER-006009
POL-14270,MEMBER-000901
POL-14270,MEMBER-001909
POL-14270,MEMBER-003554
POL-14270,MEMBER-005570
POL-13247,MEMBER-005863
POL-13247,MEMBER-000987
POL-15566,MEMBER-006915
POL-15566,MEMBER-000413
POL-15566,MEMBER-005150
POL-15566,MEMBER-006728
POL-15566,MEMBER-002189
POL-11456,MEMBER-004330
POL-11456,MEMBER-001045
POL-11456,MEMBER-006103
POL-11456,MEMBER-001164
POL-11456,MEMBER-000336
POL-15368,MEMBER-000870
POL-15368,MEMBER-003211
POL-15368,MEMBER-001727
POL-15368,MEMBER-000316
POL-17729,MEMBER-004144
POL-17729,MEMBER-001909
POL-17729,MEMBER-005132
POL-17729,MEMBER-003796
POL-17620,MEMBER-006654
POL-17620,MEMBER-006300
POL-17620,MEMBER-003611
POL-13903,MEMBER-003056
POL-13903,MEMBER-006043
POL-13903,MEMBER-001609
POL-13903,MEMBER-005266
POL-13903,MEMBER-000353
POL-17924,MEMBER-001470
POL-13743,MEMBER-001058
POL-13743,MEMBER-000502
POL-13743,MEMBER-000862
POL-13743,MEMBER-006327
POL-13743,MEMBER-004816
POL-18959,MEMBER-006889
POL-18959,MEMBER-000350
POL-18959,MEMBER-006353
POL-18959,MEMBER-004797
POL-18959,MEMBER-002995
POL-10119,MEMBER-002983
POL-14073,MEMBER-003480
POL-14073,MEMBER-004847
POL-14073,MEMBER-005160
POL-14073,MEMBER-004809
POL-14073,MEMBER-006765
POL-16085,MEMBER-005499
POL-16085,MEMBER-003385
POL-12627,MEMBER-004327
POL-12627,MEMBER-000595
POL-12627,MEMBER-002979
POL-12627,MEMBER-005277
POL-12627,MEMBER-003746
POL-11286,MEMBER-003263
POL-11286,MEMBER-006191
POL-11286,MEMBER-003389
POL-11286,MEMBER-002749
POL-11286,MEMBER-006999
POL-13659,MEMBER-003048
POL-13659,MEMBER-006453
POL-13659,MEMBER-005399
POL-13659,MEMBER-001927
POL-16942,MEMBER-005475
POL-16942,MEMBER-001189
POL-16942,MEMBER-004790
POL-18279,MEMBER-002125
POL-18279,MEMBER-005842
POL-18279,MEMBER-002097
POL-18279,MEMBER-002971
POL-12754,MEMBER-006714
POL-12754,MEMBER-000647
POL-12754,MEMBER-003879
POL-12754,MEMBER-005896
POL-12754,MEMBER-001725
POL-18190,MEMBER-000933
POL-18190,MEMBER-002863
POL-18190,MEMBER-005295
POL-18190,MEMBER-003940
POL-13771,MEMBER-000725
POL-13771,MEMBER-002360
POL-13771,MEMBER-000925
POL-13771,MEMBER-002272
POL-13133,MEMBER-005991
POL-13133,MEMBER-005799
POL-13133,MEMBER-003733
POL-13133,MEMBER-005275
POL-15372,MEMBER-000998
POL-15372,MEMBER-000139
POL-12177,MEMBER-003022
POL-12177,MEMBER-000335
POL-12177,MEMBER-005231
POL-14105,MEMBER-000809
POL-11109,MEMBER-001946
POL-11109,MEMBER-005675
POL-16317,MEMBER-000494
POL-16317,MEMBER-000525
POL-16317,MEMBER-005785
POL-15149,MEMBER-001451
POL-15149,MEMBER-001831
POL-15149,MEMBER-006280
POL-15149,MEMBER-005342
POL-15149,MEMBER-003539
POL-18252,MEMBER-004501
POL-18252,MEMBER-003091
POL-15304,MEMBER-000311
POL-15304,MEMBER-001433
POL-15304,MEMBER-001715
POL-14589,MEMBER-006561
POL-14589,MEMBER-006125
POL-14589,MEMBER-000212
POL-14589,MEMBER-002098
POL-10939,MEMBER-005216
POL-10939,MEMBER-002977
POL-10939,MEMBER-000750
POL-10939,MEMBER-000928
POL-11791,MEMBER-004978
POL-11791,MEMBER-006277
POL-11791,MEMBER-005773
POL-11767,MEMBER-005345
POL-11767,MEMBER-005774
POL-11767,MEMBER-002528
POL-11767,MEMBER-001353
POL-11767,MEMBER-003839
POL-10156,MEMBER-002003
POL-10156,MEMBER-003147
POL-10156,MEMBER-002283
POL-10156,MEMBER-002658
POL-16855,MEMBER-004986
POL-11010,MEMBER-006658
POL-11010,MEMBER-004399
POL-11010,MEMBER-000699
POL-11010,MEMBER-002928
POL-18502,MEMBER-001779
POL-18502,MEMBER-003869
POL-10887,MEMBER-001802
POL-10887,MEMBER-006871
POL-10887,MEMBER-003064
POL-10887,MEMBER-002124
POL-10887,MEMBER-001698
POL-13783,MEMBER-004824
POL-13783,MEMBER-005041
POL-13783,MEMBER-006404
POL-12265,MEMBER-003375
POL-12265,MEMBER-001852
POL-12265,MEMBER-004588
POL-12265,MEMBER-002647
POL-12265,MEMBER-005928
POL-17962,MEMBER-003650
POL-17962,MEMBER-003728
POL-13822,MEMBER-003094
POL-13822,MEMBER-005416
POL-13822,MEMBER-005367
POL-13822,MEMBER-003978
POL-13822,MEMBER-006716
POL-13805,MEMBER-003010
POL-13805,MEMBER-001143
POL-13805,MEMBER-001493
POL-13805,MEMBER-006474
POL-17877,MEMBER-005354
POL-17877,MEMBER-005509
POL-17877,MEMBER-000761
POL-17877,MEMBER-003022
POL-17877,MEMBER-004984
POL-16770,MEMBER-004676
POL-16770,MEMBER-005776
POL-19638,MEMBER-004020
POL-19638,MEMBER-002797
POL-19638,MEMBER-001977
POL-19638,MEMBER-003802
POL-10679,MEMBER-004684
POL-10679,MEMBER-003592
POL-10679,MEMBER-005876
POL-10103,MEMBER-003127
POL-10103,MEMBER-004054
POL-10103,MEMBER-003564
POL-10103,MEMBER-000626
POL-10103,MEMBER-004707
POL-19783,MEMBER-000811
POL-19783,MEMBER-003727
POL-19783,MEMBER-000520
POL-14078,MEMBER-004017
POL-14078,MEMBER-004400
POL-10334,MEMBER-006379
POL-10334,MEMBER-002538
POL-10334,MEMBER-001004
POL-11958,MEMBER-006028
POL-11958,MEMBER-005831
POL-11958,MEMBER-005933
POL-15600,MEMBER-000687
POL-15600,MEMBER-004041
POL-15600,MEMBER-002327
POL-15600,MEMBER-001760
POL-14633,MEMBER-005149
POL-14633,MEMBER-001982
POL-18881,MEMBER-003810
POL-18881,MEMBER-001778
POL-16641,MEMBER-003088
POL-16641,MEMBER-001760
POL-10536,MEMBER-000411
POL-10536,MEMBER-005001
POL-10536,MEMBER-003210
POL-10536,MEMBER-000690
POL-19555,MEMBER-000224
POL-15616,MEMBER-001019
POL-15616,MEMBER-001329
POL-15616,MEMBER-002189
POL-15616,MEMBER-003216
POL-16279,MEMBER-001434
POL-16279,MEMBER-003405
POL-14148,MEMBER-001657
POL-14148,MEMBER-002905
POL-14148,MEMBER-006349
POL-14148,MEMBER-004848
POL-18258,MEMBER-004195
POL-18258,MEMBER-002574
POL-18258,MEMBER-003102
POL-14543,MEMBER-005447
POL-17106,MEMBER-001905
POL-17106,MEMBER-003840
POL-17106,MEMBER-004843
POL-14022,MEMBER-004293
POL-14022,MEMBER-002591
POL-12848,MEMBER-003364
POL-12848,MEMBER-000898
POL-12848,MEMBER-006695
POL-18596,MEMBER-006757
POL-18596,MEMBER-001091
POL-18596,MEMBER-002579
POL-19780,MEMBER-002917
POL-19780,MEMBER-002211
POL-19780,MEMBER-003333
POL-19780,MEMBER-005264
POL-15460,MEMBER-002208
POL-15460,MEMBER-002912
POL-17869,MEMBER-000894
POL-17869,MEMBER-005155
POL-17869,MEMBER-005378
POL-17869,MEMBER-002261
POL-17087,MEMBER-004327
POL-17087,MEMBER-004723
POL-15403,MEMBER-001799
POL-15403,MEMBER-003644
POL-15403,MEMBER-000717
POL-15403,MEMBER-006275
POL-19275,MEMBER-004696
POL-19275,MEMBER-005436
POL-19275,MEMBER-004297
POL-19275,MEMBER-004265
POL-12826,MEMBER-003095
POL-12826,MEMBER-000171
POL-12826,MEMBER-000763
POL-12919,MEMBER-005189
POL-12919,MEMBER-002157
POL-14062,MEMBER-000126
POL-11145,MEMBER-001256
POL-11145,MEMBER-006250
POL-11145,MEMBER-006980
POL-11145,MEMBER-001845
POL-13072,MEMBER-004706
POL-13072,MEMBER-002192
POL-13072,MEMBER-000715
POL-13072,MEMBER-006312
POL-17393,MEMBER-000430
POL-17393,MEMBER-006235
POL-15856,MEMBER-005695
POL-15856,MEMBER-005102
POL-15856,MEMBER-005801
POL-15856,MEMBER-006468
POL-15856,MEMBER-004683
POL-13692,MEMBER-001461
POL-19571,MEMBER-000192
POL-19571,MEMBER-004450
POL-10426,MEMBER-003862
POL-10426,MEMBER-003748
POL-10426,MEMBER-003043
POL-13493,MEMBER-004201
POL-13493,MEMBER-004536
POL-13493,MEMBER-000481
POL-13493,MEMBER-002856
POL-13493,MEMBER-003786
POL-11121,MEMBER-000773
POL-11121,MEMBER-005600
POL-11121,MEMBER-004996
POL-11121,MEMBER-005319
POL-11121,MEMBER-002181
POL-10269,MEMBER-006887
POL-10269,MEMBER-000150
POL-10269,MEMBER-000950
POL-10269,MEMBER-006293
POL-13870,MEMBER-000897
POL-13870,MEMBER-006955
POL-13870,MEMBER-003703
POL-11525,MEMBER-006180
POL-11525,MEMBER-005668
POL-11525,MEMBER-005089
POL-18361,MEMBER-001122
POL-17366,MEMBER-001714
POL-19491,MEMBER-002054
POL-19491,MEMBER-006274
POL-12328,MEMBER-005619
POL-12328,MEMBER-005984
POL-12328,MEMBER-006998
POL-14180,MEMBER-003353
POL-14180,MEMBER-000829
POL-14180,MEMBER-006953
POL-14180,MEMBER-006732
POL-19026,MEMBER-001572
POL-19026,MEMBER-001938
POL-12371,MEMBER-002074
POL-12371,MEMBER-004219
POL-13549,MEMBER-005869
POL-13549,MEMBER-003107
POL-19591,MEMBER-003662
POL-19591,MEMBER-002753
POL-14310,MEMBER-002900
POL-15669,MEMBER-006130
POL-15669,MEMBER-001171
POL-15669,MEMBER-000737
POL-10899,MEMBER-004037
POL-10899,MEMBER-004977
POL-12301,MEMBER-004872
POL-12301,MEMBER-004887
POL-10826,MEMBER-001573
POL-10826,MEMBER-003229
POL-14534,MEMBER-004426
POL-14534,MEMBER-004261
POL-14534,MEMBER-002281
POL-14534,MEMBER-002101
POL-10076,MEMBER-001957
POL-10076,MEMBER-004948
POL-10076,MEMBER-004847
POL-13104,MEMBER-006980
POL-13104,MEMBER-003294
POL-13104,MEMBER-002264
POL-13104,MEMBER-004261
POL-13045,MEMBER-003575
POL-13045,MEMBER-002959
POL-13045,MEMBER-002431
POL-13045,MEMBER-001802
POL-10930,MEMBER-005774
POL-10930,MEMBER-005233
POL-10930,MEMBER-001352
POL-13679,MEMBER-005149
POL-13679,MEMBER-005874
POL-14648,MEMBER-003943
POL-14648,MEMBER-000095
POL-14648,MEMBER-001724
POL-14648,MEMBER-000392
POL-17128,MEMBER-006067
POL-17128,MEMBER-005846
POL-17128,MEMBER-002575
POL-17128,MEMBER-003264
POL-17128,MEMBER-002951
POL-14332,MEMBER-003848
POL-12162,MEMBER-002260
POL-19558,MEMBER-000838
POL-19558,MEMBER-003039
POL-19558,MEMBER-001426
POL-19558,MEMBER-000969
POL-19558,MEMBER-006352
POL-12589,MEMBER-004834
POL-12589,MEMBER-006267
POL-12589,MEMBER-005614
POL-12589,MEMBER-004787
POL-14682,MEMBER-004413
POL-14682,MEMBER-002822
POL-14682,MEMBER-000353
POL-14682,MEMBER-003582
POL-14682,MEMBER-005707
POL-16102,MEMBER-005227
POL-16102,MEMBER-003364
POL-13096,MEMBER-001997
POL-13096,MEMBER-005755
POL-13096,MEMBER-005498
POL-17169,MEMBER-005471
POL-17169,MEMBER-006193
POL-17888,MEMBER-002547
POL-13912,MEMBER-006667
POL-13912,MEMBER-003124
POL-13912,MEMBER-001457
POL-13137,MEMBER-006282
POL-13137,MEMBER-005462
POL-13137,MEMBER-002515
POL-13137,MEMBER-002433
POL-13137,MEMBER-003464
POL-12859,MEMBER-000198
POL-16166,MEMBER-002627
POL-18095,MEMBER-000644
POL-18095,MEMBER-004495
POL-18095,MEMBER-004170
POL-18095,MEMBER-005388
POL-16284,MEMBER-006384
POL-17021,MEMBER-004087
POL-17021,MEMBER-003645
POL-17021,MEMBER-003524
POL-13248,MEMBER-006949
POL-13248,MEMBER-005977
POL-13248,MEMBER-002684
POL-13248,MEMBER-006423
POL-13248,MEMBER-001952
POL-12178,MEMBER-002505
POL-12178,MEMBER-003573
POL-13263,MEMBER-001274
POL-13263,MEMBER-001751
POL-13263,MEMBER-001564
POL-13263,MEMBER-000640
POL-18897,MEMBER-000866
POL-18897,MEMBER-002116
POL-18897,MEMBER-005539
POL-16260,MEMBER-003741
POL-16260,MEMBER-003114
POL-16260,MEMBER-006231
POL-15837,MEMBER-003093
POL-15837,MEMBER-004876
POL-15837,MEMBER-002064
POL-15837,MEMBER-005959
POL-15837,MEMBER-003211
POL-18800,MEMBER-003607
POL-18800,MEMBER-000677
POL-18800,MEMBER-004918
POL-18182,MEMBER-000007
POL-18182,MEMBER-001668
POL-17575,MEMBER-004729
POL-17575,MEMBER-006981
POL-17575,MEMBER-002248
POL-11901,MEMBER-005185
POL-11901,MEMBER-003241
POL-11901,MEMBER-005786
POL-11901,MEMBER-001250
POL-11978,MEMBER-002152
POL-11978,MEMBER-003923
POL-11978,MEMBER-003507
POL-11978,MEMBER-000672
POL-18494,MEMBER-003276
POL-18494,MEMBER-001203
POL-13120,MEMBER-006118
POL-13120,MEMBER-006593
POL-13120,MEMBER-001420
POL-15695,MEMBER-001611
POL-15695,MEMBER-001410
POL-10698,MEMBER-002681
POL-16603,MEMBER-006881
POL-16603,MEMBER-000423
POL-16603,MEMBER-005996
POL-16603,MEMBER-006801
POL-16603,MEMBER-001490
POL-15922,MEMBER-006075
POL-15922,MEMBER-005174
POL-15922,MEMBER-000329
POL-15922,MEMBER-005071
POL-15922,MEMBER-004031
POL-12766,MEMBER-004091
POL-11038,MEMBER-002867
POL-11038,MEMBER-000999
POL-11038,MEMBER-000750
POL-11038,MEMBER-002779
POL-11038,MEMBER-002357
POL-12830,MEMBER-002040
POL-12830,MEMBER-005121
POL-12830,MEMBER-004922
POL-12830,MEMBER-006373
POL-15867,MEMBER-005163
POL-15867,MEMBER-000593
POL-15867,MEMBER-005282
POL-13091,MEMBER-001749
POL-13091,MEMBER-000581
POL-13091,MEMBER-004796
POL-13091,MEMBER-003438
POL-13091,MEMBER-004102
POL-15382,MEMBER-002095
POL-15382,MEMBER-001723
POL-15382,MEMBER-000935
POL-15382,MEMBER-005857
POL-15382,MEMBER-006947
POL-10385,MEMBER-002667
POL-10385,MEMBER-004142
POL-10385,MEMBER-004361
POL-10385,MEMBER-004065
POL-10385,MEMBER-006602
POL-15697,MEMBER-006696
POL-15697,MEMBER-000238
POL-11803,MEMBER-006690
POL-11803,MEMBER-000235
POL-11803,MEMBER-000816
POL-11803,MEMBER-002173
POL-13318,MEMBER-005811
POL-13318,MEMBER-002404
POL-18427,MEMBER-002433
POL-18427,MEMBER-004735
POL-18427,MEMBER-004322
POL-18427,MEMBER-006290
POL-17276,MEMBER-004414
POL-17089,MEMBER-004769
POL-17089,MEMBER-005131
POL-17089,MEMBER-000997
POL-17089,MEMBER-001620
POL-18513,MEMBER-006104
POL-18513,MEMBER-002929
POL-18513,MEMBER-006345
POL-18513,MEMBER-000204
POL-18513,MEMBER-002483
POL-15458,MEMBER-006281
POL-15458,MEMBER-006545
POL-15458,MEMBER-002321
POL-15458,MEMBER-005912
POL-10998,MEMBER-006401
POL-10998,MEMBER-004535
POL-10998,MEMBER-005991
POL-10998,MEMBER-004589
POL-17507,MEMBER-006527
POL-17507,MEMBER-003065
POL-17507,MEMBER-005806
POL-17842,MEMBER-005542
POL-17842,MEMBER-000414
POL-17842,MEMBER-001192
POL-17842,MEMBER-005941
POL-16296,MEMBER-004533
POL-16296,MEMBER-005223
POL-16296,MEMBER-005748
POL-16296,MEMBER-003612
POL-16296,MEMBER-002482
POL-11319,MEMBER-004555
POL-14340,MEMBER-004187
POL-14340,MEMBER-002363
POL-14340,MEMBER-000746
POL-14340,MEMBER-006759
POL-13414,MEMBER-002679
POL-13414,MEMBER-003059
POL-13414,MEMBER-004743
POL-18148,MEMBER-003252
POL-18148,MEMBER-005052
POL-18148,MEMBER-003913
POL-18148,MEMBER-003118
POL-18148,MEMBER-000356
POL-10113,MEMBER-001761
POL-16494,MEMBER-006524
POL-16494,MEMBER-005549
POL-10273,MEMBER-005316
POL-10273,MEMBER-002194
POL-10273,MEMBER-004703
POL-10273,MEMBER-005526
POL-18503,MEMBER-003866
POL-18503,MEMBER-004397
POL-18503,MEMBER-001930
POL-18503,MEMBER-001859
POL-18503,MEMBER-004472
POL-11855,MEMBER-004861
POL-17146,MEMBER-006884
POL-16716,MEMBER-006168
POL-16716,MEMBER-003663
POL-10163,MEMBER-006613
POL-10163,MEMBER-000711
POL-10163,MEMBER-000895
POL-10163,MEMBER-000324
POL-12835,MEMBER-004676
POL-12835,MEMBER-004677
POL-12835,MEMBER-006284
POL-12835,MEMBER-002493
POL-13735,MEMBER-001434
POL-13735,MEMBER-000166
POL-13735,MEMBER-002321
POL-13735,MEMBER-001357
POL-13735,MEMBER-001343
POL-12270,MEMBER-002521
POL-10550,MEMBER-003060
POL-10550,MEMBER-001671
POL-10550,MEMBER-003368
POL-10550,MEMBER-003058
POL-12116,MEMBER-004491
POL-12116,MEMBER-002840
POL-19385,MEMBER-006439
POL-19385,MEMBER-006125
POL-19385,MEMBER-000295
POL-15881,MEMBER-006110
POL-15881,MEMBER-005770
POL-10006,MEMBER-002798
POL-10006,MEMBER-001264
POL-10006,MEMBER-001034
POL-10006,MEMBER-005181
POL-10006,MEMBER-005928
POL-18782,MEMBER-006507
POL-18782,MEMBER-000204
POL-18782,MEMBER-006323
POL-18782,MEMBER-000642
POL-18782,MEMBER-000165
POL-19387,MEMBER-006785
POL-19387,MEMBER-001000
POL-19387,MEMBER-004291
POL-19387,MEMBER-003329
POL-19387,MEMBER-006077
POL-16552,MEMBER-003789
POL-12430,MEMBER-005484
POL-14326,MEMBER-005140
POL-14326,MEMBER-002300
POL-13962,MEMBER-002480
POL-13962,MEMBER-004684
POL-15806,MEMBER-003205
POL-15806,MEMBER-004707
POL-15806,MEMBER-000891
POL-15806,MEMBER-001876
POL-11826,MEMBER-002343
POL-11826,MEMBER-006145
POL-19823,MEMBER-004784
POL-19823,MEMBER-003699
POL-19823,MEMBER-001319
POL-19823,MEMBER-005889
POL-19823,MEMBER-003141
POL-11039,MEMBER-002695
POL-11039,MEMBER-004380
POL-11039,MEMBER-004626
POL-11039,MEMBER-005234
POL-11039,MEMBER-004831
POL-16176,MEMBER-005766
POL-16176,MEMBER-004249
POL-16176,MEMBER-006874
POL-16176,MEMBER-003562
POL-10795,MEMBER-003940
POL-10795,MEMBER-006990
POL-11685,MEMBER-000362
POL-11685,MEMBER-000066
POL-18293,MEMBER-000692
POL-18293,MEMBER-003201
POL-18293,MEMBER-006059
POL-18293,MEMBER-006389
POL-17458,MEMBER-000607
POL-12263,MEMBER-000399
POL-12263,MEMBER-002296
POL-12263,MEMBER-002339
POL-12263,MEMBER-001064
POL-12263,MEMBER-001823
POL-19484,MEMBER-004342
POL-19484,MEMBER-000133
POL-19484,MEMBER-002160
POL-19484,MEMBER-003323
POL-19484,MEMBER-002017
POL-18439,MEMBER-000164
POL-18439,MEMBER-004695
POL-17651,MEMBER-004769
POL-17651,MEMBER-006255
POL-17651,MEMBER-002564
POL-15994,MEMBER-006783
POL-12635,MEMBER-004092
POL-12635,MEMBER-001269
POL-12635,MEMBER-006216
POL-12635,MEMBER-001111
POL-12635,MEMBER-001655
POL-16305,MEMBER-000387
POL-18025,MEMBER-001350
POL-18025,MEMBER-001659
POL-18025,MEMBER-002467
POL-18025,MEMBER-002470
POL-15260,MEMBER-003254
POL-15260,MEMBER-005061
POL-19965,MEMBER-002287
POL-19965,MEMBER-003901
POL-19965,MEMBER-000655
POL-19965,MEMBER-003236
POL-19965,MEMBER-005336
POL-13056,MEMBER-002406
POL-13056,MEMBER-005186
POL-13056,MEMBER-003197
POL-14093,MEMBER-002826
POL-14093,MEMBER-004009
POL-14093,MEMBER-000627
POL-14093,MEMBER-006726
POL-14093,MEMBER-001863
POL-18540,MEMBER-000994
POL-18540,MEMBER-000562
POL-18540,MEMBER-000052
POL-15688,MEMBER-004538
POL-19561,MEMBER-002000
POL-10105,MEMBER-004436
POL-10105,MEMBER-004321
POL-10105,MEMBER-003229
POL-10105,MEMBER-003369
POL-10105,MEMBER-001539
POL-15905,MEMBER-004196
POL-15905,MEMBER-003843
POL-15905,MEMBER-004937
POL-15905,MEMBER-002975
POL-15905,MEMBER-005672
POL-14010,MEMBER-004158
POL-14010,MEMBER-004859
POL-14010,MEMBER-005232
POL-14010,MEMBER-006656
POL-17870,MEMBER-003389
POL-17870,MEMBER-002747
POL-17870,MEMBER-005445
POL-17870,MEMBER-003671
POL-17833,MEMBER-003571
POL-17833,MEMBER-001465
POL-17833,MEMBER-004676
POL-16381,MEMBER-006276
POL-16304,MEMBER-000482
POL-16304,MEMBER-005627
POL-16304,MEMBER-005588
POL-16304,MEMBER-004751
POL-14297,MEMBER-000830
POL-14297,MEMBER-005656
POL-14297,MEMBER-004976
POL-14297,MEMBER-000496
POL-14297,MEMBER-002139
POL-18138,MEMBER-003897
POL-10064,MEMBER-002395
POL-15516,MEMBER-003222
POL-15516,MEMBER-006034
POL-15516,MEMBER-005579
POL-15516,MEMBER-006575
POL-19530,MEMBER-002265
POL-19530,MEMBER-003898
POL-19530,MEMBER-006376
POL-15605,MEMBER-006250
POL-15605,MEMBER-005334
POL-13190,MEMBER-005005
POL-13190,MEMBER-000876
POL-18663,MEMBER-005851
POL-18663,MEMBER-001685
POL-18663,MEMBER-005817
POL-18663,MEMBER-003071
POL-18663,MEMBER-003106
POL-12902,MEMBER-004046
POL-12902,MEMBER-005348
POL-12902,MEMBER-004537
POL-12902,MEMBER-006224
POL-12902,MEMBER-003110
POL-13874,MEMBER-005693
POL-13076,MEMBER-006364
POL-13076,MEMBER-005025
POL-13076,MEMBER-003081
POL-19781,MEMBER-003742
POL-19781,MEMBER-005548
POL-19781,MEMBER-005329
POL-19279,MEMBER-001128
POL-19279,MEMBER-005061
POL-19279,MEMBER-001397
POL-19279,MEMBER-003574
POL-19279,MEMBER-006581
POL-12500,MEMBER-000747
POL-12500,MEMBER-006013
POL-12500,MEMBER-005399
POL-18442,MEMBER-002635
POL-16470,MEMBER-003458
POL-16470,MEMBER-006282
POL-10672,MEMBER-001071
POL-10672,MEMBER-001241
POL-10672,MEMBER-001621
POL-10672,MEMBER-000493
POL-12862,MEMBER-004293
POL-12862,MEMBER-004193
POL-12862,MEMBER-000213
POL-12862,MEMBER-001516
POL-12862,MEMBER-003595
POL-12138,MEMBER-004105
POL-13823,MEMBER-000955
POL-13823,MEMBER-000327
POL-13823,MEMBER-004400
POL-13823,MEMBER-006895
POL-13823,MEMBER-006985
POL-10309,MEMBER-005676
POL-14567,MEMBER-004686
POL-14567,MEMBER-003578
POL-14567,MEMBER-000336
POL-16336,MEMBER-001968
POL-16336,MEMBER-004059
POL-16336,MEMBER-005211
POL-16336,MEMBER-005381
POL-10852,MEMBER-003239
POL-10852,MEMBER-001374
POL-10852,MEMBER-001195
POL-10852,MEMBER-002688
POL-14845,MEMBER-005973
POL-14845,MEMBER-000531
POL-14845,MEMBER-000538
POL-15487,MEMBER-001358
POL-19697,MEMBER-006562
POL-14744,MEMBER-005207
POL-14744,MEMBER-006318
POL-14744,MEMBER-005197
POL-14744,MEMBER-001130
POL-12125,MEMBER-001543
POL-12125,MEMBER-006090
POL-12125,MEMBER-002812
POL-15122,MEMBER-005671
POL-15122,MEMBER-003769
POL-10276,MEMBER-000987
POL-17589,MEMBER-003891
POL-17589,MEMBER-004113
POL-17589,MEMBER-006960
POL-17589,MEMBER-006479
POL-15625,MEMBER-000650
POL-18418,MEMBER-003907
